country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
EU,,:,:,:,:,:,:,:,:,:,:,2.72,2.84
Belgium,2.51,2.48,2.56,2.52,2.5,2.57,2.48,2.46,2.51,2.55,2.72,2.82,2.81
Bulgaria,1.4,1.59,1.66,1.74,1.88,1.98,2.04,2.21,2.43,2.55,2.68,2.87,3.07
Czechia,2.04,2.09,2.14,2.2,2.25,2.28,2.35,2.39,2.48,2.6,2.69,2.81,2.91
Denmark,2.94,2.92,3,3.88,3.86,3.85,3.78,3.81,3.25,3.28,3.36,3.44,3.51
Germany,1.9,1.92,1.92,2.05,2.03,2.15,2.29,2.35,2.44,2.52,2.83,2.81,2.82
Estonia,2.05,2.19,2.26,2.47,2.6,2.63,2.77,2.82,2.92,3.29,3.51,3.97,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,1.35,1.23,1.21,1.26,1.33,1.2,1.44,1.41,1.39,1.41,1.43,1.49,1.59
Spain,1.85,1.9,1.93,2.02,2.13,2.11,2.13,2.21,2.29,2.34,2.4,2.45,2.7
France,:,:,2.52,2.56,2.63,2.59,2.75,2.7,2.73,2.85,2.76,2.78,2.95
Croatia,1.5,1.55,1.73,1.75,1.81,1.96,2,2.08,2.13,2.24,2.31,2.56,2.72
Italy,2.11,2.19,2.15,2.06,2.08,2.12,2.09,2.13,2.2,2.23,2.21,2.23,2.33
Cyprus,1.71,1.67,1.86,1.87,2,2.12,2.25,2.25,2.33,2.41,2.65,2.89,3.07
Latvia,1.67,1.82,1.95,2.05,2.35,2.5,2.89,3.14,3.43,3.66,3.97,3.95,4.19
Lithuania,1.35,1.42,1.59,1.69,1.81,1.95,2.09,2.24,2.34,2.43,2.5,2.65,2.88
Luxembourg,3.87,3.94,4,4.06,4.05,4.11,4.17,4.13,4.15,4.31,4.38,4.4,4.44
Hungary,2.17,2.2,2.3,2.35,2.44,2.44,2.52,2.53,2.56,2.61,2.67,2.82,2.91
Malta,:,:,:,:,:,:,:,:,:,:,3.71,:,3.74
Netherlands,:,2.96,2.91,2.94,:,:,:,:,:,:,:,:,:
Austria,1.92,1.92,1.99,2.04,2.09,2.14,2.19,2.19,2.26,2.32,2.33,2.39,2.51
Poland,1.22,1.28,1.36,1.45,1.54,1.64,1.73,1.87,2.04,2.2,2.26,2.42,2.51
Portugal,1.32,1.4,1.44,1.53,1.62,1.69,1.73,1.82,1.87,1.97,2.09,2.32,2.53
Romania,1.35,1.31,1.32,1.43,1.5,1.63,1.71,1.85,2,2.08,2.22,2.28,2.42
Slovenia,1.78,1.89,1.93,1.97,2.04,2.16,2.19,2.27,2.31,2.34,2.38,2.45,2.62
Slovakia,1.61,1.34,1.89,2.15,2.15,:,2.29,2.39,2.52,2.65,2.77,2.87,3.03
Finland,2.76,2.82,2.8,2.83,2.89,:,3.03,3.06,3.14,3.28,3.34,3.45,3.62
Sweden,3.84,:,:,:,3.87,4.04,3.9,4.41,4.47,4.55,4.61,4.75,4.74
Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:
Norway,:,2.69,2.74,2.77,2.78,2.79,2.84,2.89,2.86,2.92,2.98,3.08,3.2
Switzerland,:,2.51,2.23,2.29,2.43,2.47,2.56,2.47,2.54,2.6,2.64,2.72,2.86
United Kingdom,3.06,3.04,3.09,3.03,2.88,3.1,:,3.31,:,:,:,:,:
