country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU,23.2,22.9,23.1,23.1,23.1,22.9,22.5,16.9,17.0,16.6,16.2,16.4,17.0,17.1,17.2,17.8,18.5,19.1,18.9
Belgium,15.1,18.1,17.2,18.7,17.3,18.3,19.1,16.7,17.1,15.5,15.2,15.1,14.1,15.6,16.8,17.2,17.4,19.6,18.7
Bulgaria,26.3,26.4,28.2,28.9,31.3,30.6,31.1,32.9,32.3,29.7,31.5,30.8,28.9,29.0,29.9,28.1,28.2,28.2,28.9
Czechia,26.5,28.3,28.9,28.6,27.8,23.5,21.3,10.7,10.9,10.6,9.9,9.8,10.0,10.1,9.7,10.2,10.3,10.0,10.9
Denmark,23.0,22.8,22.1,24.9,22.6,22.4,22.3,19.6,19.1,18.9,18.1,20.3,21.0,20.2,20.4,21.5,22.9,22.9,22.0
Germany,21.5,21.4,21.3,21.7,21.2,20.1,19.5,16.5,15.2,15.6,16.5,16.3,16.6,16.6,16.8,16.8,17.6,19.4,19.0
Estonia,:,44.1,31.3,35.2,37.4,40.0,39.3,23.7,26.2,20.7,19.4,22.3,20.5,20.3,22.5,23.8,22.7,22.6,24.5
Ireland,35.6,34.1,34.9,32.6,32.3,32.6,31.4,24.2,23.0,23.3,21.1,20.2,21.5,21.1,18.6,21.4,20.7,20.1,21.8
Greece,33.1,34.9,35.0,36.6,38.3,37.4,36.5,20.1,22.1,21.4,20.8,17.3,17.1,15.4,15.5,20.2,27.0,21.0,20.3
Spain,22.1,22.7,22.6,23.3,23.5,22.7,22.7,19.0,18.5,19.1,18.2,17.9,17.2,16.4,17.3,19.0,19.0,19.4,18.0
France,23.6,20.9,21.9,20.9,21.2,22.3,22.2,19.5,20.0,19.5,16.9,15.8,17.6,18.5,19.2,19.7,20.1,20.9,19.0
Croatia,21.8,21.1,25.6,19.0,21.5,20.8,23.1,14.2,15.6,18.2,14.7,17.3,13.8,14.5,18.2,20.7,18.3,20.9,14.5
Italy,17.8,17.4,18.1,17.6,17.2,17.2,16.7,14.6,16.1,14.3,14.2,14.7,15.3,16.1,15.1,15.1,15.7,16.1,16.0
Cyprus,13.4,20.9,18.5,19.3,15.1,15.5,18.1,20.1,19.0,16.4,15.7,20.8,23.6,18.2,18.8,19.2,18.2,19.3,21.6
Latvia,31.7,44.1,29.7,28.8,30.6,30.0,29.8,24.4,21.5,23.4,26.3,27.6,26.9,25.9,20.1,24.3,23.5,22.5,22.8
Lithuania,37.6,33.8,:,29.8,44.6,34.6,32.4,:,22.8,17.8,16.9,20.5,25.0,25.9,25.8,24.3,23.6,23.7,22.9
Luxembourg,14.0,24.2,11.9,15.6,7.9,15.3,13.7,12.6,10.5,12.3,11.8,13.8,12.5,11.6,13.6,15.5,20.0,19.7,20.7
Hungary,38.4,37.6,33.0,32.6,33.8,36.0,38.4,9.5,10.8,10.4,11.7,12.1,13.2,9.1,8.6,10.6,12.3,14.0,13.6
Malta,:,18.0,26.7,23.2,21.6,24.1,28.4,17.2,10.4,13.9,15.2,17.0,12.3,10.8,17.7,10.9,10.7,22.7,18.2
Netherlands,13.6,13.6,15.5,15.3,15.6,15.4,14.6,12.9,13.0,14.3,13.2,13.9,15.0,16.3,15.9,17.3,17.6,17.5,19.4
Austria,22.1,20.0,19.7,20.9,17.6,18.8,19.1,13.2,16.8,14.2,13.4,14.3,17.1,15.7,18.4,20.4,20.3,19.0,19.3
Poland,32.0,30.7,31.3,30.6,30.2,30.3,29.8,14.2,16.1,14.4,14.0,13.6,14.6,14.8,14.0,14.4,15.1,15.5,16.7
Portugal,29.0,23.9,22.7,24.4,20.9,25.3,28.6,17.9,14.2,13.3,15.2,17.6,18.0,17.6,17.6,17.8,21.1,20.7,20.4
Romania,:,32.2,31.1,28.5,32.3,32.3,29.3,21.7,21.3,23.5,21.5,27.3,26.3,25.7,23.7,23.5,26.2,26.0,25.2
Slovenia,30.7,29.5,26.2,24.7,26.3,24.1,25.5,15.8,14.2,12.7,13.6,16.2,17.3,16.4,16.6,19.5,17.2,16.6,17.6
Slovakia,32.9,30.8,32.1,33.5,32.7,32.5,34.8,17.5,13.4,9.1,12.1,12.0,9.7,14.4,13.1,14.0,15.8,14.9,14.9
Finland,24.1,25.0,23.4,23.7,24.3,24.6,23.7,19.1,20.0,20.7,20.8,22.3,21.0,20.4,19.9,21.1,23.3,23.9,23.8
Sweden,21.3,21.4,21.6,21.4,21.2,21.2,20.9,19.0,19.4,19.6,19.1,18.9,20.8,20.9,20.9,20.5,21.3,21.9,22.9
Iceland,:,:,:,:,:,:,:,17.1,19.2,17.9,20.5,23.0,21.9,17.0,16.9,19.2,20.9,24.2,20.3
Norway,:,:,:,:,:,:,:,16.6,16.1,16.0,16.6,18.8,17.3,18.7,22.1,20.6,19.4,19.1,19.8
Switzerland,:,:,:,:,:,:,:,12.6,13.3,14.2,13.8,14.2,15.0,15.2,14.5,16.6,16.3,16.3,15.9
United Kingdom,:,:,:,:,:,:,:,17.9,17.4,15.8,16.5,17.2,16.5,17.6,17.0,17.1,:,:,:
Montenegro,:,:,:,:,:,:,:,:,33.0,27.1,:,:,:,29.4,27.6,:,:,:,:
North Macedonia,:,:,:,:,:,:,:,23.0,23.9,26.5,28.8,21.7,27.3,27.0,24.1,24.4,23.3,:,:
Serbia,:,:,:,:,:,:,:,:,:,18.5,14.9,17.2,20.9,22.1,19.2,21.5,24.9,23.4,23.3
Türkiye,:,:,:,:,:,:,:,14.3,14.4,14.7,14.5,13.8,13.2,13.8,14.6,13.0,16.8,:,:
