country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU,76.8,77.1,76.9,76.9,76.9,77.1,77.5,83.1,83.0,83.4,83.8,83.6,83.0,82.9,82.8,82.2,81.5,80.9,81.1
Belgium,84.9,81.9,82.8,81.3,82.7,81.7,80.9,83.3,82.9,84.5,84.8,84.9,85.9,84.4,83.2,82.8,82.6,80.4,81.3
Bulgaria,73.7,73.6,71.8,71.1,68.7,69.4,68.9,67.1,67.7,70.3,68.5,69.2,71.1,71.0,70.1,71.9,71.8,71.8,71.1
Czechia,73.5,71.7,71.1,71.4,72.2,76.5,78.7,89.3,89.1,89.4,90.1,90.2,90.0,89.9,90.3,89.8,89.7,90.0,89.1
Denmark,77.0,77.2,77.9,75.1,77.4,77.6,77.7,80.4,80.9,81.1,81.9,79.7,79.0,79.8,79.6,78.5,77.1,77.1,78.0
Germany,78.5,78.6,78.7,78.3,78.8,79.9,80.5,83.5,84.8,84.4,83.5,83.7,83.4,83.4,83.2,83.2,82.4,80.6,81.0
Estonia,75.5,55.9,68.7,64.8,62.6,60.0,60.7,76.3,73.8,79.3,80.6,77.7,79.5,79.7,77.5,76.2,77.3,77.4,75.5
Ireland,64.4,65.9,65.1,67.4,67.7,67.4,68.6,75.8,77.0,76.7,78.9,79.8,78.5,78.9,81.4,78.6,79.3,79.9,78.2
Greece,66.9,65.1,65.0,63.4,61.7,62.6,63.5,79.9,77.9,78.6,79.2,82.7,82.9,84.6,84.5,79.8,73.0,79.0,79.7
Spain,77.9,77.3,77.4,76.7,76.5,77.3,77.3,81.0,81.5,80.9,81.8,82.1,82.8,83.6,82.7,81.0,81.0,80.6,82.0
France,76.4,79.1,78.1,79.1,78.8,77.7,77.8,80.5,80.0,80.5,83.1,84.2,82.4,81.5,80.8,80.3,79.9,79.1,81.0
Croatia,78.2,78.9,74.4,81.0,78.5,79.2,76.9,85.8,84.4,81.8,85.3,82.7,86.2,85.5,81.8,79.3,81.7,79.1,85.5
Italy,82.2,82.6,81.9,82.4,82.8,82.8,83.3,85.4,83.9,85.7,85.8,85.3,84.7,83.9,84.9,84.9,84.3,83.9,84.0
Cyprus,86.6,79.1,81.5,80.7,84.9,84.5,81.9,79.9,81.0,83.6,84.3,79.2,76.4,81.8,81.2,80.8,81.8,80.7,78.4
Latvia,68.3,55.9,70.3,71.2,69.4,70.0,70.2,75.6,78.5,76.6,73.7,72.4,73.1,74.1,79.9,75.7,76.5,77.5,77.2
Lithuania,62.4,66.2,67.3,70.2,55.4,65.4,67.6,80.4,77.2,82.2,83.1,79.5,75.0,74.1,74.2,75.7,76.4,76.3,77.1
