country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU,"1,315.0","1,395.7","1,482.9","1,527.5","1,560.2","1,548.2","1,528.2",960.2,"1,010.6","1,023.7","1,029.0","1,078.5","1,175.4","1,231.8","1,301.8","1,399.6","1,558.0","1,708.9","1,770.6"
Belgium,21.9,27.0,27.1,33.3,30.1,33.3,37.9,30.4,33.4,29.4,29.2,28.5,27.3,35.8,41.1,41.2,42.0,53.4,51.8
Bulgaria,17.0,17.5,21.0,23.1,25.7,23.9,23.6,22.0,23.3,22.2,23.4,27.1,26.5,27.9,30.8,28.5,29.1,30.5,34.9
Czechia,42.5,50.5,54.8,60.5,64.0,53.4,48.4,18.2,18.0,19.3,18.3,17.4,18.9,19.2,20.6,21.9,22.6,24.2,25.3
Denmark,27.5,25.9,28.1,32.1,30.6,28.7,28.5,22.3,23.6,23.9,21.9,24.7,28.0,28.1,28.5,31.7,34.6,37.1,37.7
Germany,259.9,285.3,288.0,299.3,302.5,287.8,287.8,196.9,205.5,218.4,234.5,238.8,255.5,257.6,272.7,283.2,339.6,390.5,401.2
Estonia,:,6.8,6.0,7.8,9.1,9.3,9.4,5.0,6.1,5.4,4.8,6.0,6.8,7.0,8.0,9.1,9.2,9.1,11.0
Ireland,24.5,23.2,24.2,25.4,25.0,25.0,24.4,21.6,20.7,21.4,20.0,19.2,22.5,23.0,20.0,24.1,26.8,30.0,34.3
Greece,40.4,43.0,43.8,47.2,49.0,47.8,46.9,14.8,15.4,15.2,12.7,10.1,11.5,11.7,13.2,16.1,21.6,19.7,20.9
Spain,113.0,125.1,134.5,148.0,149.8,138.8,142.7,110.3,104.0,106.5,102.4,101.8,105.5,107.9,120.4,138.7,141.3,156.8,158.1
France,229.7,211.3,230.8,211.5,216.2,232.1,232.2,136.7,137.7,149.7,143.9,143.7,170.6,187.9,204.2,222.9,244.5,258.8,231.2
Croatia,5.9,6.2,8.1,6.8,9.0,8.5,8.8,5.7,6.2,7.2,6.5,7.7,7.3,7.9,11.1,11.6,11.5,12.7,9.4
Italy,116.8,117.0,127.9,125.4,124.9,127.6,119.9,98.8,113.9,102.6,102.7,107.5,116.4,124.7,123.9,124.1,130.6,136.7,143.5
Cyprus,1.0,1.7,1.5,1.9,1.5,1.4,1.8,2.0,1.9,1.6,1.6,2.0,2.4,2.0,2.4,2.2,2.3,3.2,4.4
Latvia,8.8,13.3,8.3,8.1,8.8,7.3,7.0,5.3,4.2,5.1,5.9,6.7,6.5,6.5,4.7,6.9,7.6,7.5,9.0
Lithuania,10.0,7.9,:,7.4,12.3,8.6,7.4,:,5.7,4.2,3.9,5.8,8.6,9.6,9.7,10.2,10.5,12.4,14.2
Luxembourg,1.0,2.0,0.8,1.2,0.8,1.5,1.4,1.2,1.2,1.4,1.5,1.8,1.7,1.6,2.3,2.8,3.7,4.0,5.0
Hungary,66.1,61.5,55.9,55.0,57.7,57.1,61.9,9.7,13.4,14.3,16.8,18.4,20.9,14.3,14.3,16.1,21.1,25.4,26.4
Malta,:,1.3,1.7,2.1,1.9,1.8,2.2,1.0,0.6,0.8,1.0,1.3,1.0,1.0,2.0,1.3,1.2,2.9,2.5
Netherlands,44.7,42.2,46.9,45.9,49.2,48.6,47.8,48.7,49.3,55.4,52.0,57.5,64.3,70.6,74.5,87.2,92.9,108.8,133.1
Austria,23.5,23.2,24.8,26.8,23.5,26.1,27.0,19.1,24.7,21.7,20.1,23.9,30.7,29.5,35.2,37.7,39.3,36.5,42.7
Poland,110.0,113.4,128.8,138.2,143.8,151.9,140.5,50.5,63.4,58.1,58.1,57.9,63.2,67.1,68.0,73.7,83.6,90.8,100.3
Portugal,33.5,29.0,29.9,33.8,27.4,35.5,40.6,16.0,13.5,13.8,20.7,22.9,24.4,23.3,25.7,30.3,39.4,46.7,44.8
Romania,:,40.1,58.1,56.9,64.8,62.2,47.8,27.2,29.7,32.2,30.1,44.0,44.1,47.7,45.1,46.4,53.2,52.8,54.3
Slovenia,9.1,10.0,9.2,8.3,9.6,8.8,9.2,5.2,4.4,3.9,4.4,5.3,5.6,5.9,6.5,7.5,7.3,7.7,7.9
Slovakia,20.2,21.6,26.2,29.1,28.2,27.1,29.6,11.0,7.9,5.4,8.0,8.2,7.1,10.3,10.8,13.5,16.9,16.5,16.8
Finland,29.8,32.6,31.7,33.0,33.5,33.5,33.4,27.0,30.3,32.3,31.8,34.7,33.8,33.9,33.7,36.8,44.7,45.0,47.2
Sweden,51.9,56.9,57.9,59.4,61.3,60.7,60.2,49.1,52.3,52.4,53.0,55.6,64.7,69.6,72.4,73.8,80.9,89.1,102.7
Iceland,:,:,:,:,:,:,:,1.0,1.1,1.2,1.5,1.9,1.9,1.6,1.5,1.7,1.9,1.9,1.9
Norway,:,:,:,:,:,:,:,18.4,18.3,18.9,19.8,22.2,19.3,22.8,27.0,26.0,26.4,28.6,29.2
Switzerland,:,:,:,:,:,:,:,23.1,27.2,29.5,29.5,30.5,34.1,33.9,33.9,42.5,41.6,41.7,42.3
United Kingdom,:,:,:,:,:,:,:,251.6,253.5,236.5,251.6,283.5,278.4,292.2,299.0,313.5,:,:,:
Montenegro,:,:,:,:,:,:,:,:,1.3,1.2,:,:,:,1.7,1.3,:,:,:,:
North Macedonia,:,:,:,:,:,:,:,2.1,2.1,2.5,3.1,2.8,3.6,3.3,3.0,3.8,4.3,:,:
Serbia,:,:,:,:,:,:,:,:,:,8.0,7.6,9.9,13.0,14.3,13.2,16.1,19.9,22.2,23.0
Türkiye,:,:,:,:,:,:,:,33.8,40.7,42.3,43.2,44.7,43.5,48.2,51.5,46.1,61.2,:,:
