country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
EU,"4,365.1","4,701.4","4,932.0","5,074.9","5,203.6","5,224.8","5,267.7","4,708.4","4,936.9","5,126.7","5,307.8","5,479.4","5,742.7","5,951.6","6,277.6","6,462.7","6,871.5","7,225.1","7,608.2"
Belgium,123.4,122.3,130.3,145.2,143.4,148.3,160.3,151.8,161.5,159.9,163.2,159.9,166.5,192.8,203.8,198.1,198.8,218.6,225.6
Bulgaria,47.6,48.8,53.3,56.7,56.4,54.4,52.2,44.9,48.9,52.7,51.0,61.0,65.3,68.3,72.4,72.7,74.2,77.6,85.9
Czechia,118.0,127.6,134.6,150.7,166.2,173.9,178.4,152.4,146.4,163.1,167.0,160.1,170.0,170.0,191.0,192.1,197.2,216.5,207.6
Denmark,92.2,87.6,99.2,96.8,104.6,99.4,99.3,91.4,100.0,102.3,99.2,96.7,105.4,110.8,111.2,115.4,116.4,125.0,133.4
Germany,947.6,"1,047.4","1,061.9","1,076.9","1,121.2","1,143.1","1,189.5",998.7,"1,148.0","1,178.8","1,183.4","1,226.9","1,285.6","1,298.3","1,349.9","1,403.7","1,594.3","1,622.7","1,712.8"
Estonia,14.6,8.6,13.2,14.4,15.3,14.0,14.5,16.0,17.3,20.7,19.8,20.8,26.2,27.3,27.6,29.1,31.3,31.2,33.8
Ireland,44.3,44.9,45.2,52.4,52.4,51.6,53.4,67.7,69.4,70.5,74.7,76.1,82.1,85.7,87.2,88.8,102.8,119.6,123.1
Greece,81.7,80.1,81.3,81.9,78.9,80.0,81.5,58.8,54.4,55.6,48.1,48.1,55.5,64.6,72.1,63.8,58.6,73.8,82.2
Spain,398.4,427.3,460.5,488.3,487.7,471.6,486.9,469.0,457.5,452.1,459.3,467.7,509.8,548.3,575.8,592.7,601.4,649.5,718.7
France,745.7,800.6,821.5,798.6,805.1,809.9,815.1,562.7,550.0,618.8,709.5,763.0,798.1,830.0,857.0,908.7,974.3,980.0,986.5
Croatia,21.1,23.4,23.4,29.2,32.6,32.6,29.4,34.2,33.7,32.2,37.4,36.7,45.3,46.7,49.6,44.3,51.4,48.2,55.3
Italy,540.1,555.5,578.7,586.5,602.5,612.0,596.5,578.1,592.0,614.0,622.6,624.3,642.8,649.0,698.2,696.6,698.4,712.7,755.6
Cyprus,6.3,6.3,6.7,8.0,8.3,7.8,7.9,8.0,8.0,8.3,8.4,7.7,7.6,9.0,10.5,9.2,10.5,13.4,16.1
Latvia,18.9,16.9,19.8,20.0,19.9,17.0,16.5,16.3,15.3,16.6,16.6,17.7,17.7,18.7,18.5,21.5,24.8,25.8,30.7
Lithuania,16.6,15.4,14.4,17.6,15.3,16.2,15.3,18.5,19.3,19.3,19.2,22.4,25.7,27.4,28.0,31.8,34.0,40.0,47.7
Luxembourg,6.3,6.2,5.8,6.3,8.9,8.5,8.9,8.6,10.6,10.0,11.2,11.1,11.9,12.5,14.5,15.2,14.9,16.5,19.1
Hungary,106.2,102.1,113.5,113.9,113.0,101.4,99.3,92.3,110.6,123.1,127.4,134.5,137.4,143.6,151.5,136.3,149.8,156.6,168.1
Malta,6.3,6.0,4.5,7.0,6.9,5.7,5.4,4.7,5.5,5.2,5.8,6.3,7.2,8.5,9.5,10.5,10.2,9.8,11.2
Netherlands,283.2,268.6,255.5,254.7,265.1,267.8,278.5,328.8,328.9,331.9,342.4,356.9,363.0,363.3,394.4,417.4,434.2,511.8,552.1
Austria,83.1,93.0,101.2,101.5,110.0,112.9,114.1,125.9,122.5,131.2,129.4,142.9,148.5,158.4,156.5,146.9,154.2,156.0,177.9
Poland,234.2,256.1,282.0,313.2,332.0,349.5,331.0,304.7,330.3,346.0,355.9,366.8,369.6,384.9,418.3,438.3,471.4,496.0,500.4
Portugal,82.1,92.7,102.1,105.1,103.9,104.5,101.5,73.5,81.2,90.1,115.5,107.6,111.6,109.2,120.3,140.1,147.2,178.7,174.9
Romania,:,84.5,128.4,142.8,136.1,130.4,115.2,97.9,109.7,104.9,109.9,117.2,123.6,137.7,145.4,151.4,150.3,150.8,161.1
Slovenia,20.6,23.9,25.9,25.2,26.9,27.9,26.8,28.1,26.5,26.6,27.8,27.7,26.6,30.3,32.7,31.1,35.3,38.9,37.0
Slovakia,41.2,48.4,55.4,57.9,58.1,56.3,55.5,52.0,50.9,54.2,58.1,60.3,66.4,61.1,71.9,83.0,89.9,94.5,95.4
Finland,93.9,97.9,103.8,106.0,104.6,102.7,107.2,114.5,121.0,123.6,121.2,121.2,126.9,132.1,135.9,137.7,146.8,143.0,151.0
Sweden,191.7,209.3,210.0,218.2,228.1,225.5,227.5,209.2,217.7,214.9,223.9,238.2,246.1,263.2,274.1,286.3,298.9,318.0,345.2
Iceland,:,:,:,:,:,:,:,5.1,4.6,5.6,5.8,6.3,6.8,7.6,7.2,7.0,7.2,6.0,7.3
Norway,:,:,:,:,:,:,:,92.0,95.4,99.1,99.3,96.0,92.7,99.3,95.4,100.2,110.0,120.9,118.0
Switzerland,:,:,:,:,:,:,:,160.5,176.8,178.1,184.3,184.7,192.8,189.1,199.7,214.1,212.9,214.0,224.7
United Kingdom,:,:,:,:,:,:,:,"1,155.1","1,207.0","1,255.7","1,276.4","1,361.3","1,406.2","1,371.3","1,460.1","1,523.8",:,:,:
Montenegro,:,:,:,:,:,:,:,2.9,2.6,3.2,4.2,4.5,4.1,4.0,3.5,3.5,4.6,:,:
North Macedonia,:,:,:,:,:,:,:,6.9,6.6,6.9,7.7,10.1,9.5,8.8,9.5,11.8,14.3,:,:
Serbia,:,:,:,:,:,:,:,:,:,35.3,43.2,47.5,49.4,50.4,55.5,58.8,59.9,72.5,75.6
Türkiye,:,:,:,:,:,:,:,201.9,243.0,245.2,255.2,279.9,285.7,301.3,302.6,309.2,302.4,:,:
