DATAFLOW,LAST UPDATE,freq,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2008,0.48,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2009,0.45,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2010,0.43,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2011,0.49,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2012,0.46,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2013,0.46,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2014,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2015,0.44,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2016,0.44,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2017,0.46,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2018,0.52,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2019,0.51,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,AT,2020,0.44,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2008,,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2014,0.03,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2015,0.06,be
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2016,0.06,be
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2017,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2018,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2019,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BA,2020,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2008,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2009,0.48,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2010,0.39,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2011,0.22,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2012,0.22,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2013,0.22,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2014,0.24,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2015,0.19,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2016,0.21,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2017,0.21,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2018,0.21,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2019,0.23,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BE,2020,0.21,p
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2008,0.19,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2009,0.12,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2010,0.17,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2011,0.16,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2012,0.17,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2013,0.19,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2014,0.22,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2015,0.24,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2016,0.25,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2017,0.29,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2018,0.3,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2019,0.2,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,BG,2020,0.21,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CH,2008,,b
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2008,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2009,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2010,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2011,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2012,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2013,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2014,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2015,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2016,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2017,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2018,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2019,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CY,2020,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CZ,2008,,c
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CZ,2009,0.34,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CZ,2010,0.39,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CZ,2011,0.35,
ESTAT:ISOC_BDE15AG(1.0),02/10/23 23:00:00,A,C_ICT,CZ,2012,0.41,
