country,2010,2015,2019
Belgium,21.91,17.56,14.70
Bulgaria,13.28,11.17,2.86
Czechia,2.81,4.27,11.38
Denmark,18.86,21.46,15.20
Germany,9.17,9.31,13.38
Estonia,8.98,15.80,18.72
Ireland,9.30,10.93,15.60
Greece,10.37,10.48,9.30
Spain,26.29,22.01,23.77
France,23.45,25.54,30.06
Croatia,7.41,10.08,6.36
Italy,23.73,16.84,10.72
Cyprus,9.30,6.84,17.21
Latvia,14.82,22.16,8.68
Lithuania,5.43,4.58,5.81
Luxembourg,20.98,15.60,7.51
Hungary,7.67,8.69,8.04
Malta,7.20,19.23,19.08
Netherlands,15.16,19.34,20.55
Austria,12.44,15.72,19.69
Poland,6.85,4.69,7.10
Portugal,12.71,20.70,19.78
Romania,3.49,21.88,8.99
Slovenia,13.44,17.90,21.25
Slovakia,5.46,7.36,13.48
Finland,23.54,24.45,24.74
Sweden,22.81,31.22,25.06
Iceland,20.63,:,24.90
Norway,24.59,26.48,18.72
United Kingdom,13.88,10.61,12.50
Bosnia and Herzegovina,:,:,3.44
Montenegro,:,:,1.18
North Macedonia,15.34,27.84,18.59
Albania,:,:,3.69
Serbia,:,11.41,13.71
Türkiye,5.18,6.16,10.44
Kosovo*,:,:,9.68
