country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,4.27,4.47,5.31,5.24,6.16,6.16,6.66,6.59,7.09,7.72,8.48,9.93,:
Bulgaria,:,13.31,:,8.39,6.02,4.11,2.37,3.69,4.9,8.3,7.99,27.13,29.03,30.69,34.52,36.4
Czechia,8.77,6.81,6.64,8.16,8.58,8.86,8.98,9.31,8.87,11.2,12.34,13.73,14.6,15.9,16.2,17.87
Denmark,:,:,:,:,11.33,13.27,12.26,9.08,7.17,6.98,6.66,9.36,6.23,:,7.55,3.68
Germany,:,:,3.65,3.55,4.2,4.17,4.47,4.49,4.99,4.78,4.68,:,4.53,4.61,5.21,:
Estonia,:,:,27.17,34.55,28.93,23.09,11.5,17.42,23.37,25.06,30.09,32.27,26.22,32.23,29.67,:
Ireland,:,:,:,:,15.96,15.96,18.48,:,20.69,:,23.29,:,17.66,:,20.68,:
Greece,:,:,:,:,:,:,7.73,:,10.99,:,11.45,:,9.24,:,10.14,10.7
Spain,:,:,:,7.88,8.22,8.08,8.08,8.41,8.95,9.21,8.37,8.43,7.63,9.08,8.87,10.48
France,:,:,2.79,3.27,4.17,5.01,5.24,5.32,5.54,:,:,5.62,6.6,:,:,:
Croatia,:,:,:,0.32,5.51,5.59,4.24,4.11,2.55,2.21,2.91,5.92,6.61,7.48,10.35,10.63
Italy,:,:,3.98,2.07,2.5,2.4,2.43,2.44,4.25,6.97,7.62,5.86,6.73,6.9,7.36,6.61
Cyprus,:,:,:,40.01,43.45,32.73,29.11,12.58,7.65,7.39,7.2,6.17,9.34,16.18,13.8,13.85
Latvia,:,:,:,10.84,13.76,5.26,4.35,3.65,6.09,5.02,9.84,6.3,6.45,5.31,10.47,7.87
Lithuania,:,:,:,2.6,5.53,9.65,8.28,7.94,9.55,9.55,9.84,5.14,15.4,10.74,12.03,16.85
Luxembourg,:,:,:,:,3.99,:,2.09,:,0.47,:,:,:,:,:,:,:
Hungary,1.23,2.46,2.53,6.42,9.79,6.34,6.73,11.59,13,14.46,6.33,5.83,6.83,7.66,9.47,10.79
Malta,:,:,:,14.04,14.8,17.71,22.58,24.44,33.6,32.64,28.76,42.94,41.99,42.88,43.22,37.47
Netherlands,:,:,:,5.17,6.37,9.52,9.29,9.26,:,:,:,:,:,:,:,:
Austria,:,3.5,3.33,:,2.89,:,3.26,:,4.02,:,4.33,:,4.76,:,5.67,:
Poland,2.19,2.42,2.21,:,5.21,11.64,11.86,12.43,11.44,10.45,11.69,19.81,15.04,13.54,14.38,16.93
Portugal,:,:,8.64,9.28,9.77,9.55,8.13,9.92,10.72,12.04,11.32,11.5,11.28,12.75,13.08,15.52
Romania,:,:,:,:,6.78,4.03,8.77,10.69,6.81,8.82,9.74,9.81,2.93,1.11,4.95,7.61
Slovenia,:,:,:,3.23,4.3,3.57,5.15,3.85,3.53,4.87,5.36,4.9,6.37,5.04,5.67,7.24
Slovakia,0.66,0.97,:,:,:,2.61,2.8,12.34,10.77,12.62,15.35,:,13.46,12.98,16.03,25.68
Finland,:,:,:,6.74,6.32,6.25,6.82,8.07,9.31,8.43,10.21,11.98,11.91,11.17,10.93,12.45
Sweden,:,:,5.3,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,20.67,:,14.49,14.08,16.7,18.56,20.26,22.61,19.77,22.17
Norway,:,:,:,9.8,9.15,10.55,11.43,12.39,13.8,12.47,12.96,14.77,15.75,16.85,18.51,19.17
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,6.27,7.11,7.05,7.14,8.58,9.14,8.74,8.2,8.25,7.4,8.81,8.75,:,:
United States,:,:,:,4.18,4.45,3.96,4.51,3.72,2.87,3.23,4.03,4.15,3.28,3.57,:,:
China except Hong Kong,:,:,:,:,1.83,:,:,:,:,:,:,:,:,:,:,:
Japan,1.71,1.75,1.36,1.62,1.85,2.03,1.88,1.79,1.27,2.04,1.7,1.61,2.11,2.08,1.61,:
South Korea,:,:,:,0.29,0.34,0.43,0.71,0.49,0.39,0.39,0.43,0.82,0.64,0.6,0.64,:
