country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,:,:,:,:,0.45,0.45,:,:,0.49,0.48,:,:,:
Bulgaria,:,:,:,:,:,0,:,:,0.29,:,0.77,1.67,1.03,1.03,0.76,0.6
Czechia,1.75,1.91,2.11,2.64,2.8,2.24,3.31,3.12,3.26,3.36,2.24,1.92,2.2,1.73,1.55,1.79
Denmark,:,:,:,:,:,:,0.24,0.22,0.27,0.22,0.35,0.5,0.26,:,0.27,2.81
Germany,:,:,:,:,0.11,0.1,0.17,0.17,0.17,0.17,0.16,:,0.14,:,0.15,:
Estonia,:,:,0.95,:,:,0.42,0.57,0.65,:,:,:,:,1.83,2.65,:,:
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,:,:,0.18,:,0.19,:,:,:,0.39,0.46
Spain,:,:,:,:,:,0.49,0.71,:,0.51,0.52,0.58,0.74,0.67,0.71,0.77,0.73
France,:,:,:,:,0.36,:,0.39,0.34,:,:,:,0.46,0.48,:,:,:
Croatia,:,:,:,:,0,0,0,0,0,0,0,0,0.21,0.19,0.15,0.22
Italy,:,:,0.11,0.12,0.21,0.19,0.25,0.28,3.23,0.32,:,0.47,0.47,0.51,0.55,0.56
Cyprus,:,:,:,0.26,0.82,1.01,0.8,0.39,0.13,0,0,0.05,0.03,0.05,0.03,0.01
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,1.47,2.88,:
Lithuania,:,:,:,:,:,:,1.25,1.25,0.83,0.99,:,0.84,0.81,0.78,0.94,0.72
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,0.26,0.12,:,:,0.19,0.17,:,:,0.86,0.96,:,0.43,:,:,0.23,0.31
Malta,:,:,:,:,:,0.25,0.85,0.2,0,0.09,0,0.05,0.89,0.8,0.03,2.32
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,:,:,:,:,0.36,:,:,:,1.18,:,:,:,0.74,:,0.88,:
Poland,:,:,:,:,:,:,0.13,0.06,0.38,0.4,0.77,:,0.6,0.71,0.54,0.7
Portugal,:,:,0.25,0.31,:,:,:,0.49,:,0.48,:,:,:,:,:,:
Romania,:,:,:,:,:,:,:,:,:,:,0.02,0.04,0.03,0.09,0.05,0.14
Slovenia,:,:,:,0.14,0.11,0.36,0.38,0.41,0.31,0.44,0.62,0.2,0.31,0.4,:,0.37
Slovakia,0,:,:,0,0,0.21,:,:,:,:,0,0,0,:,0.44,5.1
Finland,:,:,:,:,:,:,:,:,:,:,:,0.43,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0.54,:,:,:,4.63,3.46,2.33,2.31,3.54,3.31
Norway,:,:,:,:,0.37,0.49,0.53,1.03,0.83,0.94,0.84,0.85,0.84,0.66,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,:,:,0.34,0.27,0.24,0.5,0.79,1.43,:,:,:,:,:,:
United States,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,0.04,0.06,0.06,0.02,0.02,0.02,0.05,0.04,0.03,0.04,0.02,0.03,0.05,0.08,0.08,:
South Korea,:,:,:,0.16,0.16,0.16,0.21,0.09,0.09,0.07,0.06,0.15,0.14,0.15,0.12,:
