country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,3.14,3.16,0.52,0.51,2.51,2.63,2.1,1.99,2.31,2.44,1.81,1.81,:
Bulgaria,:,:,1.4,1.2,0.75,0.83,0.24,0.9,0.11,1.12,0.92,0.87,1.28,1.5,0.8,1.23
Czechia,4.07,4.03,2.88,2.25,1.5,1,0.82,0.68,0.75,0.71,0.6,0.66,0.5,0.47,0.49,0.5
Denmark,:,:,:,:,0.66,0.63,0.67,0.67,0.68,0.63,0.68,0.66,0.84,:,0.68,0.63
Germany,:,:,3.52,3.5,1.93,1.91,2.16,2.35,2.13,2.04,2.19,:,0.99,1.01,0.84,:
Estonia,:,:,:,:,0.74,0.52,0.17,:,:,:,:,:,6.17,8.91,:,:
Ireland,:,:,:,:,0.56,0.56,0.72,:,:,:,0.13,:,0.13,:,0.1,:
Greece,:,:,:,:,:,:,2.4,:,1.26,:,:,:,:,:,0.44,0.31
Spain,:,:,:,1.14,0.84,0.88,0.8,0.76,0.81,0.85,0.78,0.76,0.75,0.71,0.76,0.63
France,:,:,4.6,3.62,2.9,2.61,2.74,2.65,2.67,:,:,2.09,1.99,:,:,:
Croatia,0.24,0.37,0.32,0.59,0.77,0.82,0.86,0,0.62,0.64,13.17,8.4,12.2,19.04,17.85,17.66
Italy,:,:,3.57,4.3,3.34,3.23,3.1,2.47,1.16,1.11,0.65,0.69,0.76,0.78,0.69,0.68
Cyprus,:,:,:,0,0,0,0,0,0,0,0,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,2.98,3.14,1.8,1.95,0.27,0.74,0.26,:,:,:,0.63,0.63,0.66
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,6.69,5.36,6.25,5.55,5.95,6.04,5.97,4.82,4.15,0.35,0.27,0.22,0.24,0.21,0.24,0.09
Malta,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,0.25,0.24,0.13,0.01,:,:,:,:,:,:,:,:,:
Austria,:,10.76,0.91,:,1.14,:,0.3,:,0.47,:,0.39,:,0.47,:,0.46,:
Poland,0.87,0.79,1.25,1.59,1.59,1.89,1.58,1.27,0.93,0.75,0.89,0.59,0.82,2.29,2.23,:
Portugal,:,:,0.43,0.54,0.4,0.34,0.48,0.47,0.51,0.5,0.49,0.42,0.49,0.3,0.34,0.48
Romania,:,:,:,:,:,:,0.51,:,:,:,0.1,0.09,0.16,0.03,0.04,0.12
Slovenia,:,:,:,6.63,4.74,4.04,3.02,2.89,2.52,2.45,2.5,1.74,1.81,1.6,:,:
Slovakia,4.45,:,:,:,:,:,:,:,:,:,0.25,0.38,:,:,:,:
Finland,:,:,:,:,:,:,:,:,:,:,27.16,21.98,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0,:,:,:,0,0,0,0,0,0
Norway,:,:,:,4.37,4.2,2.48,2.31,1.82,1.44,1.27,1.2,1.08,0.9,1.03,0.86,0.85
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,1.3,0.92,0.43,0.38,0.44,0.52,0.53,0.54,0.49,0.62,0.57,0.53,:,:
United States,:,:,:,4.44,4.78,4.78,4.3,4.63,4.85,5.38,5.46,3.45,3.13,2.94,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,12.59,11.83,11.09,8.89,8.06,8.12,7.58,6.88,6.3,5.72,5.73,4.33,4.18,2.62,2.55,:
South Korea,4.14,4.61,10.94,10.55,9.69,9.73,9.09,8.89,9.09,8.53,8.09,27.79,27.47,28.09,29.27,:
