country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,0.04,0.05,0.01,0.01,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,:
Bulgaria,:,0,0,:,0,0,0,0,0,:,:,:,:,:,:,:
Czechia,0.61,0.6,0.93,1.01,0.72,0.35,0.28,0.15,0.12,0.18,0.1,0.07,0.04,0.06,0.08,0.05
Denmark,:,:,:,:,:,:,0.09,0.81,0.71,0.72,0.68,0.24,0.51,:,0.38,0.17
Germany,:,:,0.62,0.61,0.55,0.55,0.47,0.51,0.35,0.34,0.31,:,0.33,0.33,0.24,:
Estonia,:,:,:,:,:,:,:,:,0,0,0,0,0,0,0.04,:
Ireland,:,:,:,:,:,:,:,:,:,:,0,:,0,:,0,:
Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.05,0.04
Spain,:,:,:,0.38,0.38,0.2,0.17,0.19,0.13,0.12,0.09,0.11,0.12,0.12,0.09,0.08
France,:,:,0.28,0.18,0.03,0.01,:,:,0.12,:,:,0.11,0.04,:,:,:
Croatia,0.78,1.11,0.8,:,0,0,0,0,0,0,0,0,0,0,0,0
Italy,:,:,0.03,0.03,0.06,0.1,0.08,0.06,0.08,0.08,0.09,0.16,0.17,0.12,0.09,0.08
Cyprus,:,:,:,0.5,0.2,0,0,0,0,0,0,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:
Lithuania,:,:,:,:,0.27,0.13,:,:,0.02,0.01,:,:,:,:,:,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,0.71,0.59,0.26,:,:,:,:,0.14,:,:,:,:,:,:,0.08,0.13
Malta,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,0.17,0.24,0,0.03,:,:,:,:,:,:,:,:,:
Austria,:,1.43,0.99,:,1.01,:,0.24,:,0.24,:,0.1,:,0.13,:,0.17,:
Poland,:,:,:,:,:,:,0.01,:,:,0.02,0.03,0.04,:,0.06,:,0.06
Portugal,:,:,0.45,0.78,0.64,:,:,:,:,:,:,1.45,:,:,:,:
Romania,:,:,:,:,:,:,:,:,:,:,0,0,0,0,0,0
Slovenia,:,:,:,0.21,0.31,0.27,0.27,0.09,0.43,0.36,0.49,0.58,0.82,0.11,0.74,0.76
Slovakia,0.3,:,:,0,0,:,:,:,:,:,:,:,:,0,:,:
Finland,:,:,:,:,:,:,:,:,:,:,0.05,:,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0,:,:,:,0,0,0,0,0,0
Norway,:,:,:,:,:,0.12,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,0.03,:,0.46,0.25,0.22,0.12,0.15,0.12,0.12,0.11,0.11,0.11,:,:
United States,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,:,:,1.12,3.1,3.06,2.81,3.01,3.13,3.17,2.73,2.44,2.72,2.74,2.76,2.92,:
South Korea,8.71,8.16,1.16,1.05,0.76,0.69,0.5,0.53,0.5,0.45,0.41,7.5,8.8,8.48,6.51,:
