country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,3.34,3.19,3.4,3.31,2.09,2.04,:,:,1.47,1.25,1.28,1.52,:
Bulgaria,:,0.93,0.54,:,0.03,:,:,0.43,0.62,0.54,1.15,1.88,0.79,2.7,0.48,0.47
Czechia,0.46,0.42,0.58,0.74,0.44,0.45,0.4,0.28,0.24,0.39,0.28,0.32,0.33,0.38,0.72,0.86
Denmark,:,:,:,:,0.16,0.23,0.25,0.18,0.09,0.07,0.04,0.16,0.08,:,0.08,0.05
Germany,:,:,2.95,2.96,2.31,2.3,2.56,2.7,2.46,2.36,2.31,:,2.3,2.35,2.42,:
Estonia,:,:,1.25,1.17,1.38,0.84,:,0.61,:,:,:,:,2.35,0,:,:
Ireland,:,:,:,:,5.09,5.09,4.51,:,1.1,:,5.37,:,4.25,:,3.62,:
Greece,:,:,:,:,:,:,0.84,:,1.39,:,1.09,:,1.1,:,0.45,0.22
Spain,:,:,:,0.52,0.52,0.57,0.57,0.54,0.57,0.52,0.49,0.48,0.43,0.49,0.51,0.54
France,:,:,4.5,3.95,3.76,2.92,2.91,3.04,3.66,:,:,3.91,3.76,:,:,:
Croatia,:,:,:,:,0.2,0.45,0.6,0.71,0.22,0.28,0,0,0,0.05,0.21,0.02
Italy,:,:,4.79,3.29,4.47,5.02,5.13,4.89,5.27,4,4.34,4.01,3.75,3.62,3.63,3.99
Cyprus,:,:,:,0,0,0,0,0,0,0,0,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,1.15,3.56,0.92,:
Lithuania,:,:,:,0.14,:,:,:,0.23,0.9,1.31,1.1,1.04,2.49,1.53,0.74,1.83
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,1.03,1.17,2.03,0.64,0.47,0.39,:,0.35,0.57,0.65,:,0.69,0.43,0.42,0.49,0.57
Malta,:,:,:,15.59,17.93,4.75,3.73,3.52,4.57,5.86,10.67,4.69,6.47,6.15,4.3,3.84
Netherlands,:,:,:,:,:,:,3.64,:,:,:,:,:,:,:,:,:
Austria,:,6.12,6.23,:,5.37,:,5.67,:,5.5,:,6.23,:,6.68,:,7.88,:
Poland,0.29,0.31,0.28,0.09,0.15,0.46,0.27,0.1,0.19,0.36,0.44,0.36,0.41,0.4,0.31,0.34
Portugal,:,:,1.62,0.68,0.2,0.2,0.32,0.34,0.48,0.47,0.58,0.59,0.57,0.6,0.6,0.57
Romania,:,:,:,0.43,0.35,0.3,:,5.84,5.08,0.38,0.34,0.47,0.36,0.11,0.25,0.24
Slovenia,:,:,:,1.07,1.03,1.11,1.08,0.78,0.73,1.05,0.69,0.42,0.53,0.42,0.57,0.6
Slovakia,0.35,:,:,0.93,:,:,:,:,:,0.41,0.4,0.32,:,:,0.26,0.27
Finland,:,:,:,:,:,:,:,:,:,:,0.44,0.82,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0,:,:,:,0,0,0,0,0,0
Norway,:,:,:,:,0.57,0.73,0.68,0.73,0.74,1.05,1.01,1.09,1.12,1.17,1.25,1.34
Switzerland,:,:,:,:,:,:,:,8.15,:,:,8.19,:,8.08,:,7.24,:
United Kingdom,:,:,1.77,1.68,0.6,0.6,0.47,0.57,0.59,0.48,0.4,0.45,0.33,0.44,:,:
United States,:,:,:,7.68,7.08,7.86,8.19,9.04,9.55,9.43,8.56,8.27,7.43,6.97,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,:,:,6.04,5.89,5.66,4.32,5.8,5.42,4.73,4.55,4.45,4.56,4.66,5.99,5.68,:
South Korea,34.76,35.17,31.95,34.03,34.62,37.23,36.93,38.17,40.22,42.42,39.94,13.68,13.08,13.09,12.9,:
