country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,:,:,:,:,0.3,0.32,:,:,:,:,:,:,:
Bulgaria,:,:,:,0,:,:,:,:,0,0,:,0.08,:,0.14,:,0.04
Czechia,0.91,0.98,0.93,0.95,0.74,0.81,0.62,0.62,0.54,0.56,0.56,0.56,0.53,1.23,1.24,1.35
Denmark,:,:,:,:,2.31,2.13,1.6,1.33,1.2,1.35,2.01,0.86,0.56,:,0.9,1.21
Germany,:,:,:,:,:,:,:,:,:,:,0.04,:,0.04,:,0.03,:
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,0.38,0.65,0,0
Ireland,:,:,:,:,:,:,9.44,:,:,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,:,:,1.32,:,:,:,:,:,1.86,1.95
Spain,:,:,:,0.67,0.36,0.29,0.32,0.29,0.23,0.35,0.26,0.17,0.19,0.18,0.17,0.29
France,:,:,2.53,2.82,2.53,2.58,2.5,2.73,3,:,:,3.4,3.5,:,:,:
Croatia,0.87,1.1,0.85,0.38,0.65,0,0.3,0.44,0.13,0.06,0.28,0,0,0,0,0
Italy,:,:,0.03,0.02,0.03,0.02,0.02,0.01,0.04,0.05,0.05,0.05,0.04,0.05,0.07,0.06
Cyprus,:,:,:,0,0,1.06,7.84,14.86,22.89,31.05,42.77,53.12,51.55,35.47,43.05,42.93
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:
Lithuania,:,:,:,:,:,:,0.35,0.29,0.17,0.16,:,:,:,0.58,0.24,0.21
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,0.41,0.77,0.59,0.32,0.56,0.53,:,1.05,1.24,1.19,0.83,0.91,1.2,1.47,1.49,1.26
Malta,:,:,:,10.22,:,9.6,12.42,11.87,12.41,10.74,9.74,2.5,1.25,0.57,0.43,3.27
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.62,:
Poland,:,:,:,:,:,:,4.31,:,0.74,:,:,0.54,0.65,:,0.7,1.73
Portugal,:,:,:,1.28,1.42,1.54,0.94,0.86,1.08,:,0.98,0.86,1.12,0.94,1.01,1.09
Romania,:,:,:,1.56,7.37,8.13,8.61,0.29,:,1.49,3.35,9.61,8.78,11.8,12.06,10.71
Slovenia,:,:,:,0.32,0.01,0.01,0.24,0.29,0.29,0.3,0.41,0.46,0.04,0.05,0.04,:
Slovakia,0,0,0,0,0,:,:,:,:,:,:,:,0,:,:,:
Finland,:,:,:,:,:,:,:,:,:,:,:,1.23,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,10.05,:,:,:,1.04,1.17,0.99,1.31,0.93,1.13
Norway,:,:,:,5.64,5.9,6.09,5.56,5.18,4.8,5.91,6.91,6.34,6.79,6.25,5.87,6.57
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,0.18,0.22,0.2,0.05,0.25,0.14,0.22,0.18,0.17,0.15,0.21,0.22,:,:
United States,:,:,:,9.71,9.35,9.39,9.51,9.51,10.96,10.58,9.34,8.83,8.44,7.32,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
South Korea,2.98,3.1,2.54,2.84,2.87,2.78,2.4,3,2.58,2.75,2.66,2.47,2.57,2.88,3.07,:
