country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,2.65,2.61,3.44,3.7,1.5,1.2,1.02,1.02,1.72,1.72,2.46,2.42,:
Bulgaria,:,:,:,:,:,0,0,0.03,:,:,1.19,2.17,1.72,1.58,1.6,0.94
Czechia,0.06,1.4,1.56,1.52,1.44,1.73,1.61,1.59,1.43,1.28,1.31,1.4,1.28,1.26,0.55,1.42
Denmark,:,:,:,:,0.89,0.68,1.07,1.31,1.07,0.61,0.69,0.46,0.27,:,0.27,0.18
Germany,:,:,0.45,0.42,1.26,1.28,1.12,1.15,0.7,0.67,0.33,:,0.19,0.2,0.25,:
Estonia,:,:,7.41,7.32,:,1.72,2.43,5.95,3.98,4.58,3.88,5.23,6.16,6.91,4.27,:
Ireland,:,:,:,:,0.33,0.33,0.62,:,0.72,:,0.54,:,0.54,:,0.43,:
Greece,:,:,:,:,:,:,6.02,:,2.31,:,1.53,:,5.08,:,4.98,4.3
Spain,:,:,:,2.8,2.72,2.27,2.32,2.17,2.17,2.2,1.98,2.09,1.68,1.41,1.4,1.43
France,:,:,:,:,2.61,2.41,:,:,:,:,:,2.44,2.96,:,:,:
Croatia,13.33,16.86,19.57,14.89,20.71,17.9,14,15.36,17.15,16.62,0.38,0.1,0.11,0.09,0.1,0.06
Italy,:,:,4.89,8.53,9.74,9.03,7.65,7.33,3.71,2.53,2.5,4.21,3.33,3.11,3.22,3.12
Cyprus,:,:,:,0.68,0.33,4.2,3.53,2.99,2.47,2.32,1.86,1.7,0.91,0.78,0.73,0.55
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,8.13,:,:,8.32
Lithuania,:,:,:,0.71,0.27,10.36,24.78,4.5,6.43,4.18,:,:,:,0.09,:,0.04
Luxembourg,:,:,:,:,:,:,:,:,:,:,3.58,:,:,:,:,:
Hungary,0.32,0.38,0.3,0.28,0.28,0.11,0.21,0.23,0.47,3.74,0.45,0.21,0.18,1.42,0.26,0.34
Malta,:,:,:,:,:,0.12,0,0,0,0.75,0,0.38,0,0,0,0.22
Netherlands,:,:,:,0.3,0.33,1,0.92,0.72,:,:,:,:,:,:,:,:
Austria,:,0.88,0.89,:,0.89,:,0.88,:,0.57,:,0.48,:,0.43,:,0.48,:
Poland,3.89,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Portugal,:,:,11.84,11.53,16.6,14.44,17.37,11.82,10.01,4.8,4.43,5.09,5.5,5.21,3.02,2.38
Romania,:,:,:,:,:,:,:,1.83,0.26,0.37,0.14,2.26,0.52,0.33,0.34,0.41
Slovenia,:,:,:,0.24,0.47,0.93,0.43,0.24,0.22,1.01,1.17,0.32,0.36,0.34,0.4,0.19
Slovakia,0,:,0,:,:,:,:,:,:,:,0,0,:,:,:,:
Finland,:,:,:,1.08,0.93,0.9,0.75,0.53,0.76,0.82,0.78,0.79,0.66,0.6,0.66,0.73
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0,:,:,:,0,0,0.03,0.04,0.19,0.21
Norway,:,:,:,3.02,3.52,3.69,2.99,2.85,2.69,2.83,3.04,3.78,3.05,2.64,1.82,1.69
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,9.03,8.16,6.48,5.14,4.13,4.1,3.97,3.99,3.41,3.37,3.14,3.11,:,:
South Korea,0.94,1.01,1.36,1.46,1,1.06,0.9,0.89,0.87,0.86,0.74,0.68,0.56,0.51,0.61,:
