country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,0.11,0.12,0,0,0.17,0.15,0.16,0.17,0.29,0.26,0.24,0.33,:
Bulgaria,:,:,0.14,:,:,1.16,:,0.05,:,0.52,0.24,0.16,0.17,0.25,0.17,0.16
Czechia,0.16,0.2,0.25,0.33,0.3,0.27,0.3,0.3,0.29,0.3,0.28,0.2,0.15,0.13,0.34,0.33
Denmark,:,:,:,:,1.5,1.44,1.34,1.2,1.09,1.46,0.86,0.8,0.39,:,1.21,0.26
Germany,:,:,:,:,:,:,:,:,:,:,:,:,0.02,:,0.03,:
Estonia,:,:,1.97,1.91,1.78,:,:,0.16,0.17,0.23,0,0.5,0.45,0,0.17,0
Ireland,:,:,:,:,:,:,7.73,:,3.72,:,:,:,:,:,:,:
Greece,:,:,:,:,:,:,0.48,:,6.55,:,9.85,:,5.34,:,3.78,4.24
Spain,:,:,:,1.31,0.83,0.92,0.91,0.86,0.91,0.95,1.07,1.18,1.16,1.2,1.25,1.24
France,:,:,0.52,0.45,0.66,0.52,0.42,0.51,0.34,:,:,0.88,0.51,:,:,:
Croatia,:,:,:,:,0,0,0,0,0,0,0,0.46,0.3,0.3,0.84,2.68
Italy,:,:,0.24,0.27,0.26,0.24,0.22,0.3,0.44,0.42,0.85,0.77,0.66,0.63,0.57,0.72
Cyprus,:,:,:,0,0,0,0,0.11,0.18,0.15,0,0,0,0,0,0
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,:,:,:,:,:,0.67,0.78,0.62,1.42,1.19,0.99,0.74,0.79,1.73,2.3,1.23
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,0.21,0.06,0.26,0.45,0.73,0.67,0.26,0.39,0.39,0.12,0.09,0.15,0.35,0.34,0.22
Malta,:,:,:,0,0,0,0,0,0.06,0.39,0.06,0.71,1.45,1.43,2.07,1.92
Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Austria,:,0.26,0.22,:,0.21,:,0.33,:,0.36,:,0.35,:,0.21,:,0.2,:
Poland,:,:,:,:,0.17,0.1,0.2,0.81,0.19,0.33,0.61,:,0.17,0.26,0.26,0.45
Portugal,:,:,0.25,0.17,0.07,4.34,4.55,4.55,1.91,1.53,1.71,1.47,1.25,1.06,0.9,0.94
Romania,:,:,:,:,:,:,:,0.45,0.3,0.16,0.15,0.08,0.09,0.11,0,0.01
Slovenia,:,:,:,0,0.51,0.36,0.21,0.13,0.07,0.13,0.1,0.09,:,:,0.08,0.04
Slovakia,0,0,0,0,0,:,:,:,0.15,0.32,:,:,:,0.12,:,0.36
Finland,:,:,:,:,:,:,:,:,:,:,:,0.48,0.3,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0.09,:,:,:,0.16,0.15,0.29,0.56,0,0
Norway,:,:,:,:,0.3,0.29,0.55,0.47,0.69,0.36,0.73,0.54,0.43,0.52,0.29,0.3
Switzerland,:,:,:,3.76,:,:,:,2.67,:,:,:,:,:,:,:,:
United Kingdom,:,:,0.66,0.64,0.45,1.25,1.1,1.09,0.74,0.67,1.03,0.78,0.7,0.28,:,:
United States,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,0.09,0.07,0.08,0.13,0.2,0.13,0.1,0.17,0.18,0.16,0.18,0.22,0.22,0.21,0.21,:
South Korea,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
