country,Device purchase: none of these characteristics considered important,Device purchase: take-back-scheme by manufacturer or seller considered important,Device purchase: price considered important,Device purchase: hard drive or processor speed considered important,Device purchase: possiblity of extending the life span considered important,Device purchase: energy efficiency considered important,"Device purchase: have never bought a mobile, smartphone, tablet or desktop computer",Device purchase: eco-design considered important
EU,5.65,6.73,65.69,53.59,8.92,21.72,4.57,12.51
Belgium,6,3.94,68.28,52.96,4.81,22,2.73,8.90
Bulgaria,4.05,2.40,61.98,42.79,4.50,7.99,5.52,4.00
Denmark,8.83,12.73,59.81,52.05,5.08,26.63,8.16,12.44
Germany,8.84,4.81,58.86,44.95,8.50,18.01,5.88,8.56
Estonia,5.61,12.83,62.91,63.01,10.35,24.11,5.15,18.49
Greece,1.61,9.24,66.60,56.80,27.99,23.84,7.39,19.10
France,5.51,7.19,72.91,55.09,5.48,18.02,2.81,12.96
Cyprus,3.66,34.66,79.34,65.23,39.04,43.45,0.45,38.70
Latvia,5.87,12.28,61.35,52.33,6.83,18.53,7.89,18.30
Lithuania,3.75,13.12,68.07,52.85,13.16,25.34,5.09,20.45
Luxembourg,11.03,7.85,63.22,52.88,10.60,26.26,3.68,12.09
Hungary,6.36,10.28,64.22,44.73,11.83,23.83,3.48,12.06
Malta,2.43,23.54,74.41,69.19,27.63,45.50,0.45,43.21
Netherlands,3.40,4.47,69.01,80.83,4.90,21.50,0.62,8.48
Austria,1.83,20.07,70.81,69.89,22.37,42.81,8.38,61.97
Poland,3.58,5.04,63.67,56.26,7.36,17.95,3.78,8.90
Portugal,1.85,16.37,71.72,66.30,20.97,40.52,4.39,24.58
Romania,2.24,4.13,65.17,41.37,12.69,17.96,8.61,7.64
Slovenia,4.75,8.31,61.83,60.20,10.19,16.24,3.45,12.40
Slovakia,5.32,4.40,70.12,55.30,5.66,17.39,1.71,11.53
Finland,6.01,5.35,71.05,61.63,3.07,12.85,2.63,16.10
Sweden,9.64,4.52,66.26,58.13,3.13,66.26,4.11,10.10
Norway,2.96,23.93,72.70,73.59,20.41,37.03,6.08,30.52
